id,image_path,overall_design_score
overall_rating-00117,images/732a250e6f694944a500a6a94d35465d.png,3.3
overall_rating-00097,images/644435b1998a4c10b6924e2b0f812068.png,6.2
overall_rating-00073,images/292b8678656f48f58a6980a1153a445d.png,4.0
overall_rating-00083,images/50439a1e9f874e9c9c74d4033bce3668.png,4.8
overall_rating-00006,images/000007.jpg,6.8
overall_rating-00051,images/000060.jpg,6.6
overall_rating-00134,images/84adb8365f0541c38fa2a1878234679c.png,4.7
overall_rating-00077,images/384cd93616414810af37761f70104b69.png,4.0
overall_rating-00167,images/a1b1d4232e65403b9ce5412d75f6078f.png,4.6
overall_rating-00204,images/cbaf73f0eee04a1e834b33e2da89cefd.png,4.2
overall_rating-00200,images/ca72a8bf88534c3581a5beb93a4b4737.png,4.2
overall_rating-00169,images/a4a453eac5f74c4bbb03fb5526e4a8f9.png,6.3
overall_rating-00105,images/6a31ca8747b24fee91355d7b38971405.png,4.8
overall_rating-00075,images/3635ae2bb5c84391b85e360851691937.png,4.0
overall_rating-00042,images/000049.jpg,6.8
overall_rating-00109,images/6d0f6c38d37643f887bcf217214bbb26.png,3.8
overall_rating-00008,images/000009.jpg,5.1
overall_rating-00026,images/000028.jpg,5.6
overall_rating-00005,images/000006.jpg,6.8
overall_rating-00066,images/1688cfb582954f7089824a303a04899b.png,3.0
overall_rating-00060,images/000070.jpg,5.6
overall_rating-00018,images/000019.jpg,8.2
overall_rating-00137,images/8962bd1ebe9e48f49a2db85949d4d960.png,3.4
overall_rating-00074,images/302423b9d2c5478d9bc5077b750c1493.png,4.0
overall_rating-00011,images/000012.jpg,7.2
overall_rating-00135,images/85c022ca5e33445aafee198919e268b5.png,4.5
overall_rating-00014,images/000015.jpg,6.3
overall_rating-00021,images/000023.jpg,7.4
overall_rating-00146,images/9054964ab2734d2d978ede1f0bba35bb.png,4.0
overall_rating-00029,images/000033.jpg,5.5
overall_rating-00055,images/000064.jpg,7.0
overall_rating-00164,images/9f77138c65ec442d8ea20b5b70e041a2.png,4.5
overall_rating-00088,images/57ee3dabd4a243d79477ebc318fd80d2.png,2.1
overall_rating-00207,images/ce975ffbfd474b4390c7d5369809e6ce.png,3.3
overall_rating-00089,images/5b307fdaf0454e09b9617fa9691d4bd6.png,4.5
overall_rating-00151,images/93f6a3d3ec0448b4a324ab7338e34132.png,4.1
overall_rating-00161,images/9e4678685802406782d15b41a05d2d9c.png,3.3
overall_rating-00142,images/8bbf9cdf84884723b3aa06f7f9a12e44.png,4.8
overall_rating-00104,images/69ef73e74a27435e84fb366178422740.png,4.7
overall_rating-00124,images/78e704f45ff34a47b1c59f6364a2251d.png,3.3
overall_rating-00126,images/7b500d59be644696985e46c7e391b87b.png,4.2
overall_rating-00143,images/8d170bce6e6549a48e74edfcc818aa86.png,4.3
overall_rating-00019,images/000020.jpg,7.0
overall_rating-00186,images/c17ca6e888354d9285b35ea5d9127a46.png,4.5
overall_rating-00154,images/977570f6fdb1440481877e0183fd0836.png,4.0
overall_rating-00036,images/000042.jpg,7.1
overall_rating-00136,images/86c30b9e8e2d456fb50a628cec91c70a.png,4.6
overall_rating-00133,images/8223c84e815c430e901621f99574021f.png,4.1
overall_rating-00128,images/7b830ef82386451caa7770fdb4647a8b.png,4.2
overall_rating-00028,images/000031.jpg,7.0
overall_rating-00030,images/000035.jpg,7.3
overall_rating-00194,images/c48b6ebc33624bfcafae64e1e5408d62.png,4.3
overall_rating-00079,images/430a0542d4e94ae7a79dcaa2fa9d0701.png,5.2
overall_rating-00141,images/8b2a8a666ddf420185286189368ce727.png,5.9
overall_rating-00035,images/000041.jpg,6.3
overall_rating-00155,images/97c06d403a6c4d37a4ef50f37ba30a9b.png,4.0
overall_rating-00015,images/000016.jpg,7.7
overall_rating-00048,images/000055.jpg,7.6
overall_rating-00047,images/000054.jpg,7.2
overall_rating-00100,images/67a605debd5441b3b074170b23f952b1.png,3.1
overall_rating-00170,images/a562eee227f44176ae38978dbb0cf4a6.png,4.8
overall_rating-00132,images/8206435d61664df2b09f35366381fbea.png,4.6
overall_rating-00064,images/12142f5d473744019bd29e1c808f084b.png,3.4
overall_rating-00181,images/b76e192ad3524afebb6f8bb3a32de4c7.png,3.9
overall_rating-00205,images/cd3a0d94b789437f826438fdffac91f8.png,3.9
overall_rating-00012,images/000013.jpg,7.1
overall_rating-00010,images/000011.jpg,7.5
overall_rating-00002,images/000003.jpg,6.7
overall_rating-00185,images/bee21b8716574ed5857efc86909d0ce4.png,5.2
overall_rating-00023,images/000025.jpg,6.6
overall_rating-00156,images/9a261dbdb5c9455197f762487995f9e1.png,5.8
overall_rating-00129,images/802352fa7c8341da8291d27873a02a6f.png,3.8
overall_rating-00197,images/c77d4dab64fa42d785f41e6b912e4dc8.png,4.0
overall_rating-00174,images/a87c588e8909443e9e16f1222bd32f7f.png,5.5
overall_rating-00176,images/a955cfd3e54c4770bf16c969f3b39496.png,5.6
overall_rating-00157,images/9b2ca9c475e54c48a8b39c6ba1196bfd.png,5.4
overall_rating-00101,images/68ba516daf0240eaba5324764e9c5a65.png,5.7
overall_rating-00199,images/c9fa954e283f4ec8a4eb66ae8a8d4f56.png,3.7
overall_rating-00190,images/c2c100bfc5ae4e4d80d49cf66c0a1b04.png,6.3
overall_rating-00000,images/000001.jpg,5.0
overall_rating-00193,images/c40b1f89548b4492bc5b3d97a348a078.png,5.7
overall_rating-00173,images/a5d3ddb25ad54f8b8f274df320db19af.png,5.1
overall_rating-00187,images/c1c737ceff7b47cc875149b2453a4bd0.png,4.2
overall_rating-00177,images/aa80a5ccf7294c838e438255b44c3c7d.png,5.8
overall_rating-00180,images/b1975abb107642f694238fe4122d7b84.png,4.1
overall_rating-00058,images/000067.jpg,5.2
overall_rating-00163,images/9eff824e1be045f9a3a3089d8693c2fd.png,3.9
overall_rating-00210,images/d0e5dea1f98f41d9a403fe45fa5b5cfa.png,3.5
overall_rating-00158,images/9d98cbe07a3741c6b07bad9825f06872.png,4.7
