id,character_count,word_count,text_density,aspect_ratio,width_px,height_px
overall_rating-00065,,,,0.5625,576,1024
overall_rating-00066,,,,1.0,1024,1024
overall_rating-00067,,,,0.7138671875,731,1024
overall_rating-00068,,,,1.0,1024,1024
overall_rating-00069,,,,1.0,1024,1024
overall_rating-00070,,,,1.0,1024,1024
overall_rating-00071,,,,0.75,768,1024
overall_rating-00072,,,,1.0,1024,1024
overall_rating-00073,,,,0.666015625,682,1024
overall_rating-00074,,,,1.0,1024,1024
overall_rating-00075,,,,0.666015625,682,1024
overall_rating-00076,,,,0.5625,576,1024
overall_rating-00077,,,,1.0,1024,1024
overall_rating-00078,,,,0.666015625,682,1024
overall_rating-00079,,,,0.5625,576,1024
overall_rating-00080,,,,0.5625,576,1024
overall_rating-00081,,,,1.0,1024,1024
overall_rating-00082,,,,0.720703125,738,1024
overall_rating-00083,,,,0.712890625,730,1024
overall_rating-00084,,,,1.9140186915887851,1024,535
overall_rating-00085,,,,0.5625,576,1024
overall_rating-00086,,,,0.7060546875,723,1024
overall_rating-00087,,,,0.666015625,682,1024
overall_rating-00088,,,,0.998046875,1022,1024
overall_rating-00089,,,,0.7119140625,729,1024
overall_rating-00090,,,,0.7822265625,801,1024
overall_rating-00091,,,,0.6796875,696,1024
overall_rating-00092,,,,1.0,1024,1024
overall_rating-00093,,,,0.6796875,696,1024
overall_rating-00094,,,,0.666015625,682,1024
overall_rating-00095,,,,0.7138671875,731,1024
overall_rating-00096,,,,0.7822265625,801,1024
overall_rating-00097,,,,0.712890625,730,1024
overall_rating-00098,,,,1.0,1024,1024
overall_rating-00099,,,,0.5625,576,1024
overall_rating-00100,,,,0.5625,576,1024
overall_rating-00101,,,,0.77734375,796,1024
overall_rating-00102,,,,0.6796875,696,1024
overall_rating-00103,,,,1.0,1024,1024
overall_rating-00104,,,,0.6796875,696,1024
overall_rating-00105,,,,0.6796875,696,1024
overall_rating-00106,,,,0.7060546875,723,1024
overall_rating-00107,,,,1.0,1024,1024
overall_rating-00108,,,,0.7119140625,729,1024
overall_rating-00109,,,,0.6796875,696,1024
overall_rating-00110,,,,0.6796875,696,1024
overall_rating-00111,,,,0.6796875,696,1024
overall_rating-00112,,,,0.6796875,696,1024
overall_rating-00113,,,,0.5625,576,1024
overall_rating-00114,,,,0.7822265625,801,1024
overall_rating-00115,,,,0.7138671875,731,1024
overall_rating-00116,,,,1.9068901303538175,1024,537
overall_rating-00117,,,,1.0,1024,1024
overall_rating-00118,,,,0.7822265625,801,1024
overall_rating-00119,,,,0.7822265625,801,1024
overall_rating-00120,,,,0.666015625,682,1024
overall_rating-00121,,,,1.0,1024,1024
overall_rating-00122,,,,1.0,1024,1024
overall_rating-00123,,,,0.5625,576,1024
overall_rating-00124,,,,1.0,1024,1024
overall_rating-00125,,,,1.0,1024,1024
overall_rating-00126,,,,0.7138671875,731,1024
overall_rating-00127,,,,0.7822265625,801,1024
overall_rating-00128,,,,0.6796875,696,1024
overall_rating-00129,,,,1.0,1024,1024
overall_rating-00130,,,,0.5625,576,1024
overall_rating-00131,,,,0.6796875,696,1024
overall_rating-00132,,,,0.77734375,796,1024
overall_rating-00133,,,,1.0,1024,1024
overall_rating-00134,,,,0.6796875,696,1024
overall_rating-00135,,,,0.6796875,696,1024
overall_rating-00136,,,,0.6796875,696,1024
overall_rating-00137,,,,1.9068901303538175,1024,537
overall_rating-00138,,,,0.7060546875,723,1024
overall_rating-00139,,,,0.6796875,696,1024
overall_rating-00140,,,,0.5625,576,1024
overall_rating-00141,,,,0.5625,576,1024
overall_rating-00142,,,,0.6796875,696,1024
overall_rating-00143,,,,1.0,1024,1024
overall_rating-00144,,,,0.6796875,696,1024
overall_rating-00145,,,,0.70703125,724,1024
overall_rating-00146,,,,0.5625,576,1024
overall_rating-00147,,,,0.712890625,730,1024
overall_rating-00148,,,,0.7822265625,801,1024
overall_rating-00149,,,,1.0,1024,1024
overall_rating-00150,,,,0.6796875,696,1024
overall_rating-00151,,,,0.69140625,708,1024
overall_rating-00152,,,,1.0,1024,1024
overall_rating-00153,,,,0.6796875,696,1024
overall_rating-00154,,,,0.5625,576,1024
overall_rating-00155,,,,0.7138671875,731,1024
overall_rating-00156,,,,0.77734375,796,1024
overall_rating-00157,,,,0.7822265625,801,1024
overall_rating-00158,,,,0.720703125,738,1024
overall_rating-00159,,,,0.7138671875,731,1024
overall_rating-00160,,,,0.5625,576,1024
overall_rating-00161,,,,0.5625,576,1024
overall_rating-00162,,,,1.9140186915887851,1024,535
overall_rating-00163,,,,1.0,1024,1024
overall_rating-00164,,,,0.7822265625,801,1024
overall_rating-00165,,,,0.7060546875,723,1024
overall_rating-00166,,,,0.6796875,696,1024
overall_rating-00167,,,,0.7138671875,731,1024
overall_rating-00168,,,,0.7138671875,731,1024
overall_rating-00169,,,,0.7060546875,723,1024
overall_rating-00170,,,,0.6796875,696,1024
overall_rating-00171,,,,0.7138671875,731,1024
overall_rating-00172,,,,0.71484375,732,1024
overall_rating-00173,,,,0.6796875,696,1024
overall_rating-00174,,,,0.6796875,696,1024
overall_rating-00175,,,,0.6796875,696,1024
overall_rating-00176,,,,0.7060546875,723,1024
overall_rating-00177,,,,1.0,1024,1024
overall_rating-00178,,,,0.6796875,696,1024
overall_rating-00179,,,,0.6796875,696,1024
overall_rating-00180,,,,0.6796875,696,1024
overall_rating-00181,,,,0.712890625,730,1024
overall_rating-00182,,,,0.7138671875,731,1024
overall_rating-00183,,,,0.712890625,730,1024
overall_rating-00184,,,,0.6796875,696,1024
overall_rating-00185,,,,0.69140625,708,1024
overall_rating-00186,,,,0.7822265625,801,1024
overall_rating-00187,,,,1.0,1024,1024
overall_rating-00188,,,,0.77734375,796,1024
overall_rating-00189,,,,0.7822265625,801,1024
overall_rating-00190,,,,0.7060546875,723,1024
overall_rating-00191,,,,0.7119140625,729,1024
overall_rating-00192,,,,0.7822265625,801,1024
overall_rating-00193,,,,0.6796875,696,1024
overall_rating-00194,,,,0.7119140625,729,1024
overall_rating-00195,,,,0.6796875,696,1024
overall_rating-00196,,,,0.6796875,696,1024
overall_rating-00197,,,,1.0,1024,1024
overall_rating-00198,,,,0.6796875,696,1024
overall_rating-00199,,,,1.0,1024,1024
overall_rating-00200,,,,0.7138671875,731,1024
overall_rating-00201,,,,0.6796875,696,1024
overall_rating-00202,,,,0.7822265625,801,1024
overall_rating-00203,,,,0.7265625,744,1024
overall_rating-00204,,,,0.7138671875,731,1024
overall_rating-00205,,,,0.6796875,696,1024
overall_rating-00206,,,,1.0,1024,1024
overall_rating-00207,,,,0.6796875,696,1024
overall_rating-00208,,,,0.666015625,682,1024
overall_rating-00209,,,,1.0,1024,1024
overall_rating-00210,,,,0.7138671875,731,1024
overall_rating-00211,,,,0.7138671875,731,1024
overall_rating-00212,,,,0.7138671875,731,1024
overall_rating-00213,,,,0.7490234375,767,1024
overall_rating-00214,,,,0.6796875,696,1024
overall_rating-00215,,,,0.6796875,696,1024
overall_rating-00216,,,,0.7060546875,723,1024
overall_rating-00217,,,,1.0,1024,1024
overall_rating-00218,,,,1.0,1024,1024
